date,reg5168,buy5168,f591,leju,lehu
2026-06-08,754528,312320,1749037,71111,54254
2026-06-08,754952,312452,1757661,71142,54300
2026-06-09,755039,312477,1759235,71142,54306
2026-06-09,755429,312603,1766265,71161,54344
2026-06-10,755845,312704,1772407,71170,54370
2026-06-11,756661,312914,1782972,71192,54441
2026-06-11,756668,312916,1783078,71192,54441
2026-06-12,757685,313118,1794686,71213,54499
2026-06-12,757901,313161,1797251,71217,54512
2026-06-13,758726,313292,1805227,71229,54568
2026-06-14,759676,313470,1815314,71252,54619
2026-06-16,760772,313691,1829664,71289,54683
2026-06-17,761590,313866,1840046,71318,54739
2026-06-17,762290,314096,1848561,71336,54783
2026-06-18,763086,314299,1857527,71387,54817
2026-06-19,763871,314496,1866992,71404,54873
2026-06-20,764533,314654,1874785,71418,54923
2026-06-21,765380,314857,1884928,71432,54972
